country,gdpGrowt
Australia,23485.71785
Austria,27283.89467
Bahrain,18160.248890000003
Belgium,23977.644457000002
Canada,23829.284949999997
Denmark,24178.75939
Finland,25661.669014
France,21807.181802
Germany,21982.547769999997
Greece,22622.111990999998
"Hong Kong, China",36095.902212999994
Iceland,26936.787778000005
Ireland,35076.918478
Israel,20137.998649
Italy,22321.063468
Japan,27338.373695000002
"Korea, Rep.",21860.546193
Kuwait,-66216.14312
Netherlands,25521.739879999997
Norway,37703.217130000005
Oman,20073.446319
Portugal,16735.076027
Puerto Rico,15421.552821
Singapore,44300.075231
Slovenia,19905.980961
Spain,24256.26129
Sweden,23947.870124
Switzerland,19596.929340000002
Taiwan,27210.415549999998
United Kingdom,21920.08333
United States,28104.525970000002
